"Index Num","Country of Origin","Country of Origin-ISO2","Monthly Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
346,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Hungary
347,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Hungary
348,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Ireland
349,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Ireland
350,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Ireland
351,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Ireland
352,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Iceland
353,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Iceland
354,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Iceland
355,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Iceland
356,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Italy
357,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Italy
358,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Italy
359,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Italy
360,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Liechtenstein
361,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Liechtenstein
362,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Liechtenstein
363,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Liechtenstein
364,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Lithuania
365,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Lithuania
366,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Lithuania
367,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Lithuania
368,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Luxembourg
369,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Luxembourg
370,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Luxembourg
371,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Luxembourg
372,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Latvia
373,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Latvia
374,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Latvia
375,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Latvia
376,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Malta
377,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Malta
378,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Malta
379,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Malta
380,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Netherlands
381,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Netherlands
382,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Netherlands
383,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Netherlands
384,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Norway
385,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Norway
386,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Norway
387,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Norway
388,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Poland
389,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Poland
390,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Poland
391,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Poland
392,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Portugal
393,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Portugal
394,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Portugal
395,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Portugal
